date,actif,prix,bande_basse,moyenne,bande_haute,decision,position,capital,quantite_detenue,prix_entree,pnl_pct,valeur_totale
2026-07-16 08:02:18 UTC,ETH/USD,1910.6,1903.28,1906.82,1910.36,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:03:14 UTC,ETH/USD,1909.48,1903.3,1907.0,1910.69,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:04:19 UTC,ETH/USD,1906.73,1903.6,1907.15,1910.7,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:05:21 UTC,ETH/USD,1908.96,1903.75,1907.31,1910.87,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:06:20 UTC,ETH/USD,1908.66,1903.83,1907.44,1911.04,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:07:16 UTC,ETH/USD,1907.61,1903.86,1907.46,1911.07,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:08:23 UTC,ETH/USD,1906.57,1903.7,1907.39,1911.07,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:09:15 UTC,ETH/USD,1906.25,1903.57,1907.29,1911.01,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-16 08:10:40 UTC,ETH/USD,1897.0,1903.34,1907.17,1910.99,"ACHAT (bande basse touchée, 1903.34)",1,0.0,0.52662098,1897.0,,999.0
2026-07-16 08:11:16 UTC,ETH/USD,1898.22,1901.14,1906.78,1912.42,HOLD,1.0,0.0,0.52662098,1897.0,,999.64
